127.0.0.1 - - [03/Apr/2022:11:55:19 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:23 +0700] "GET /new-jdbc-2022/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:24 +0700] "GET /new-jdbc-2022/trang-chu;jsessionid=AE83567EAD3EBC22884AD73A868701BE HTTP/1.1" 200 16171
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:24 +0700] "GET /new-jdbc-2022/template/web/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:24 +0700] "GET /new-jdbc-2022/template/web/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/admin-home HTTP/1.1" 200 7558
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/font-awesome/4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/css/ace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery-2.2.3.min.js HTTP/1.1" 404 1152
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/js/ace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /new-jdbc-2022/template/admin/assets/font-awesome/4.2.0/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:11:55:45 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
